path,scope,size_bytes,sha256,git_status,legacy_counterpart,canonical_counterpart,status,owner,classification,import_refs,test_refs,workflow_refs,doc_refs,action,review
.github/workflows/ci.yml,governance,8169,be5cef4a6a7283e3c5aba00c38f7099533e99654da0a4f269728c3ad14838e97,clean_tracked,,,GOVERNANCE,Review,GOVERNANCE,,,,,KEEP_CANONICAL,Canonical tree; no legacy deletion decision required.
.gitignore,governance,1246,0f0271c19448ce52d62cd847880ed83e0e0ca15f93949c01ed6abd09e934ae8c,clean_tracked,,,GOVERNANCE,Review,GOVERNANCE,,,,,KEEP_CANONICAL,Canonical tree; no legacy deletion decision required.
AGENTS.md,governance,3587,41fac58bf8e9ac69968193af06e7d134982fdc53e929f4aae6878f5f75295203,clean_tracked,,,GOVERNANCE,Review,GOVERNANCE,,,,,KEEP_CANONICAL,Canonical tree; no legacy deletion decision required.
EXPERIMENT_AUDIT.json,legacy,8488,de2d4f55b1fe8a599a1a38b17380df38e2e72b844d8af6917a8c2fe728da8f8e,clean_tracked,EXPERIMENT_AUDIT.json,MiLAi-Lab/studies/archive/lifecycle/legacy_snapshot/MiLAi/EXPERIMENT_AUDIT.json,IDENTICAL,Lab,HISTORICAL_ONLY,,,,,RETIRE_LEGACY_CANONICAL_WINS,Resolved: byte-identical canonical copy is authoritative; retire duplicate.
EXPERIMENT_AUDIT.md,legacy,28962,6f89317829d801824835ec65e9b82bb3d3535dcfef7d49dbb7274c2809415f3a,clean_tracked,EXPERIMENT_AUDIT.md,MiLAi-Lab/studies/archive/lifecycle/legacy_snapshot/MiLAi/EXPERIMENT_AUDIT.md,IDENTICAL,Lab,HISTORICAL_ONLY,,,,,RETIRE_LEGACY_CANONICAL_WINS,Resolved: byte-identical canonical copy is authoritative; retire duplicate.
LEGACY_READ_ONLY.md,governance,1153,44a6be49b3ea5da3405e8383673171c043bf757d8dd62601eda2456d165be316,clean_tracked,,,GOVERNANCE,Review,GOVERNANCE,,,,,KEEP_CANONICAL,Canonical tree; no legacy deletion decision required.
MANIFEST.md,legacy,33586,3e2c3267e2b3d421b5595786678aba9d4ded229d11d4dc49889ae12cc89d4685,clean_tracked,MANIFEST.md,MiLAi-Lab/studies/archive/lifecycle/legacy_snapshot/MiLAi/MANIFEST.md,IDENTICAL,Lab,LAB,,,,,RETIRE_LEGACY_CANONICAL_WINS,Resolved: byte-identical canonical copy is authoritative; retire duplicate.
MiLA_Current-State_Architecture_Report.md,legacy,92943,053d77d07f1c8391d65794223b7052fe626c6e1515a266175ec27dd76eb09887,clean_tracked,MiLA_Current-State_Architecture_Report.md,MiLAi-Lab/studies/archive/lifecycle/legacy_snapshot/MiLAi/MiLA_Current-State_Architecture_Report.md,IDENTICAL,Lab,HISTORICAL_ONLY,,,,,RETIRE_LEGACY_CANONICAL_WINS,Resolved: byte-identical canonical copy is authoritative; retire duplicate.
MiLA_Real_Execution_Flow.md,legacy,24242,2c93e93c57ba13eb18098bc39b4abc483bf8005afb2c129fc07c2ca380c1a027,clean_tracked,MiLA_Real_Execution_Flow.md,MiLAi-Lab/studies/archive/lifecycle/legacy_snapshot/MiLAi/MiLA_Real_Execution_Flow.md,IDENTICAL,Lab,LAB,,,,,RETIRE_LEGACY_CANONICAL_WINS,Resolved: byte-identical canonical copy is authoritative; retire duplicate.
MiLAi-Artifact-Archive/.gitignore,canonical,87,af0435008952ccf8b0fedf95cf9301a024b841f2f1edc782dcc4e911c3d9b7d9,clean_tracked,,MiLAi-Artifact-Archive/.gitignore,CANONICAL_ONLY,Artifact-Archive,GOVERNANCE,,,,,KEEP_CANONICAL,Canonical tree; no legacy deletion decision required.
